DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AD,781,1,VALUE_IN_EUROS,2020,55550,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AD,781,1,VALUE_IN_EUROS,2021,30000,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AD,781,1,VALUE_IN_EUROS,2022,35339,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AD,781,2,VALUE_IN_EUROS,2019,49250,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AD,781,2,VALUE_IN_EUROS,2020,62822,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AD,781,2,VALUE_IN_EUROS,2022,453740,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AE,781,1,VALUE_IN_EUROS,2019,1687297,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AE,781,1,VALUE_IN_EUROS,2020,310717,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AE,781,1,VALUE_IN_EUROS,2021,45383,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AE,781,1,VALUE_IN_EUROS,2022,685392,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AE,781,2,VALUE_IN_EUROS,2019,55829452,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AE,781,2,VALUE_IN_EUROS,2020,56161702,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AE,781,2,VALUE_IN_EUROS,2021,47471147,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AE,781,2,VALUE_IN_EUROS,2022,55233554,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AF,781,2,VALUE_IN_EUROS,2020,5921,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AF,781,2,VALUE_IN_EUROS,2021,2850,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AF,781,2,VALUE_IN_EUROS,2022,16630,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AG,781,2,VALUE_IN_EUROS,2020,27352,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AG,781,2,VALUE_IN_EUROS,2022,10145,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AL,781,1,VALUE_IN_EUROS,2020,13515,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AL,781,1,VALUE_IN_EUROS,2021,5100,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AL,781,2,VALUE_IN_EUROS,2019,446060,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AL,781,2,VALUE_IN_EUROS,2020,341764,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AL,781,2,VALUE_IN_EUROS,2021,642677,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AL,781,2,VALUE_IN_EUROS,2022,424503,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AM,781,1,VALUE_IN_EUROS,2020,21817,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AM,781,1,VALUE_IN_EUROS,2021,7025,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AM,781,2,VALUE_IN_EUROS,2019,1855294,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AM,781,2,VALUE_IN_EUROS,2020,818405,
ESTAT:DS-018995(1.0),15/11/23 11:00:00,A,AT,AM,781,2,VALUE_IN_EUROS,2021,1475541,
